Event,Date,Time
SHUTTING DOWN,2025-05-29,09:22:51
MOTION DETECTED,2025-05-29,09:23:16
MOTION DETECTED,2025-05-29,09:24:39
SHUTTING DOWN,2025-05-29,09:25:09
MOTION DETECTED,2025-05-29,09:25:23
MOTION DETECTED,2025-05-29,09:25:36
SHUTTING DOWN,2025-05-29,09:26:06
MOTION DETECTED,2025-05-29,09:29:57
MOTION DETECTED,2025-05-29,09:30:09
SHUTTING DOWN,2025-05-29,09:30:39
MOTION DETECTED,2025-05-29,09:43:31
MOTION DETECTED,2025-05-29,09:43:43
MOTION DETECTED,2025-05-29,09:43:56
MOTION DETECTED,2025-05-29,09:44:07
MOTION DETECTED,2025-05-29,09:44:18
MOTION DETECTED,2025-05-29,09:44:30
SHUTTING DOWN,2025-05-29,09:45:00
MOTION DETECTED,2025-05-29,09:45:49
SHUTTING DOWN,2025-05-29,09:46:20
MOTION DETECTED,2025-05-29,09:48:03
MOTION DETECTED,2025-05-29,09:48:15
SHUTTING DOWN,2025-05-29,09:48:45
MOTION DETECTED,2025-05-29,09:54:34
SHUTTING DOWN,2025-05-29,09:55:04
